symbol,dst,weight
ABN.AS,BNP.PA,2.188068957967112
JYSK.CO,SAN.MC,2.185399766769223
DBK.DE,CABK.MC,2.1836719215498643
ACA.PA,BAMI.MI,2.182379039224293
EBS.VI,BMED.MI,2.1775683289941274
DANSKE.CO,INGA.AS,2.176317163265686
DBK.DE,KBC.BR,2.175624266574012
DBK.DE,EBS.VI,2.174734523487896
SAN.MC,BPE.MI,2.17327638840297
GLE.PA,CABK.MC,2.1731233329982382
UBSG.SW,ISP.MI,2.17143534532187
UCG.MI,DBK.DE,2.170857529832244
PTSB.IR,VONN.SW,2.1708368605112893
BCVN.SW,JYSK.CO,2.170756086960554
EBS.VI,SAB.MC,2.170491426371925
NDA-SE.ST,BNP.PA,2.1697593091156597
ISP.MI,BKT.MC,2.1696488966568177
SYDB.CO,ISP.MI,2.169155550740366
JYSK.CO,BKT.MC,2.168003692911956
LLOY.L,SAN.MC,2.167938502623601
DNB.OL,SAB.MC,2.167702774090077
ING.WA,RBI.VI,2.16632677559278
PBB.DE,ACA.PA,2.163349545276706
PBB.DE,KBC.BR,2.1623504440172177
CMBN.SW,KBC.BR,2.161994185003913
BPSO.MI,MB.MI,2.1615745295209003
UCG.MI,SAB.MC,2.161064439555516
RBI.VI,BMED.MI,2.1604305498964758
TPEIR.AT,PKO.WA,2.159815168883443
BMED.MI,SAN.MC,2.1585844511505776
PBB.DE,MB.MI,2.1577245987154536
DBK.DE,BMED.MI,2.1574317162385555
UBSG.SW,RBI.VI,2.157364885845438
BBVA.MC,INGA.AS,2.1570987924881635
ETE.AT,RBI.VI,2.156811306425276
KOMB.PR,TPEIR.AT,2.156278820167553
BIRG.IR,BNP.PA,2.154905037634045
SAN.MC,BMED.MI,2.1543445542135298
MB.MI,BARC.L,2.154245408709281
BPSO.MI,DBK.DE,2.154182299576872
BMED.MI,BARC.L,2.152341252973695
LLOY.L,JYSK.CO,2.1514604452395125
DBK.DE,INGA.AS,2.150902975086092
BIRG.IR,BPSO.MI,2.150644961486295
BMED.MI,CABK.MC,2.14996075017926
BPE.MI,DBK.DE,2.148753177041678
SHB-A.ST,DBK.DE,2.147742766890868
KOMB.PR,EBS.VI,2.147707913223238
VLK.AS,KBC.BR,2.14475633800952
BCGE.SW,SAN.MC,2.142454765375694
BARC.L,SAN.MC,2.1421797405852794
RBI.VI,SAN.MC,2.141715300038093
DNB.OL,DBK.DE,2.1415066458294185
BCVN.SW,BMED.MI,2.1410441685939463
CBK.DE,BAMI.MI,2.138750640217162
UBSG.SW,UCG.MI,2.138371536807206
JYSK.CO,KBC.BR,2.13817968383658
PTSB.IR,BMED.MI,2.1381498331287574
SPL.WA,DBK.DE,2.137905297710511
VLK.AS,SAN.MC,2.136761461202082
LLOY.L,GLE.PA,2.1364833026261345
BPE.MI,BNP.PA,2.136420773225669
KOMB.PR,UCG.MI,2.135247026726888
NDA-SE.ST,BPSO.MI,2.135081628041057
SAN.MC,ACA.PA,2.135067412544813
KBC.BR,EBS.VI,2.1345969338511352
UCG.MI,BBVA.MC,2.1332792430737
BAER.SW,HSBA.L,2.1329646667636357
NWG.L,UCG.MI,2.1322165816793026
UBSG.SW,SEB-A.ST,2.130482550338532
BCP.LS,A5G.IR,2.130363068172872
DBK.DE,SEB-A.ST,2.1300588369862856
NONG.OL,DBK.DE,2.1297531288149987
MBK.WA,SAN.MC,2.1293097089282957
STAN.L,BPE.MI,2.127988795433676
BARC.L,BNP.PA,2.127416971798411
TLV.RO,SEB-A.ST,2.1273318936302057
RBI.VI,BARC.L,2.1264591590265747
BMED.MI,DBK.DE,2.126386072343318
BAER.SW,KBC.BR,2.1250959302835253
BPE.MI,MB.MI,2.12384134688659
UBSG.SW,EFGN.SW,2.123226134593601
BMED.MI,BKT.MC,2.12301244482877
KOMB.PR,ING.WA,2.122782533267885
MBK.WA,EBS.VI,2.1213414908033874
BMED.MI,MB.MI,2.1209569702358224
SPL.WA,RBI.VI,2.1200843219657624
ALR.WA,RBI.VI,2.119233828916756
EFGN.SW,DBK.DE,2.119194359901219
ACA.PA,DBK.DE,2.118509351448052
NWG.L,STAN.L,2.116550027391917
CBG.L,JYSK.CO,2.116068388279371
SEB-A.ST,BKT.MC,2.1159189297407472
BBVA.MC,GLE.PA,2.115568996664239
JYSK.CO,UCG.MI,2.1145872883082077
RBI.VI,EBS.VI,2.112990929752512
NWG.L,HSBA.L,2.111361103869414
DNB.OL,BPSO.MI,2.1108150137667248
GLE.PA,EBS.VI,2.109939766614421
